time,x,y,z,class
2016-04-22 14:05:45.447,0.84375,0.109375,-0.609375,lying
2016-04-22 14:05:45.458,0.84375,0.09375,-0.59375,lying
2016-04-22 14:05:45.468,0.84375,0.0625,-0.59375,lying
2016-04-22 14:05:45.478,0.84375,0.03125,-0.578125,lying
2016-04-22 14:05:45.488,0.84375,0.0,-0.5625,lying
2016-04-22 14:05:45.499,0.859375,-0.015625,-0.546875,lying
2016-04-22 14:05:45.509,0.84375,-0.03125,-0.53125,lying
2016-04-22 14:05:45.520,0.84375,-0.046875,-0.515625,lying
2016-04-22 14:05:45.530,0.84375,-0.0625,-0.515625,lying
2016-04-22 14:05:45.540,0.859375,-0.0625,-0.515625,lying
2016-04-22 14:05:45.550,0.859375,-0.0625,-0.546875,lying
2016-04-22 14:05:45.561,0.859375,-0.0625,-0.5625,lying
2016-04-22 14:05:45.571,0.859375,-0.078125,-0.578125,lying
2016-04-22 14:05:45.582,0.84375,-0.078125,-0.59375,lying
2016-04-22 14:05:45.592,0.84375,-0.078125,-0.59375,lying
2016-04-22 14:05:45.602,0.828125,-0.078125,-0.609375,lying
2016-04-22 14:05:45.612,0.828125,-0.078125,-0.609375,lying
2016-04-22 14:05:45.623,0.8125,-0.09375,-0.609375,lying
2016-04-22 14:05:45.633,0.8125,-0.109375,-0.59375,lying
2016-04-22 14:05:45.644,0.8125,-0.109375,-0.59375,lying
2016-04-22 14:05:45.654,0.8125,-0.125,-0.59375,lying
2016-04-22 14:05:45.664,0.8125,-0.140625,-0.59375,lying
2016-04-22 14:05:45.674,0.828125,-0.140625,-0.59375,lying
2016-04-22 14:05:45.685,0.828125,-0.140625,-0.578125,lying
2016-04-22 14:05:45.695,0.84375,-0.125,-0.578125,lying
2016-04-22 14:05:45.706,0.84375,-0.109375,-0.578125,lying
2016-04-22 14:05:45.716,0.84375,-0.078125,-0.578125,lying
2016-04-22 14:05:45.726,0.859375,-0.046875,-0.5625,lying
2016-04-22 14:05:45.736,0.859375,-0.015625,-0.578125,lying
2016-04-22 14:05:45.747,0.859375,0.0,-0.578125,lying
2016-04-22 14:05:45.757,0.84375,0.0,-0.5625,lying
2016-04-22 14:05:45.768,0.84375,0.0,-0.578125,lying
2016-04-22 14:05:45.778,0.84375,0.0,-0.578125,lying
2016-04-22 14:05:45.788,0.84375,0.0,-0.578125,lying
2016-04-22 14:05:45.798,0.859375,-0.015625,-0.59375,lying
2016-04-22 14:05:45.809,0.84375,-0.03125,-0.59375,lying
2016-04-22 14:05:45.819,0.84375,-0.046875,-0.578125,lying
2016-04-22 14:05:45.830,0.828125,-0.0625,-0.578125,lying
2016-04-22 14:05:45.840,0.828125,-0.0625,-0.578125,lying
2016-04-22 14:05:45.850,0.828125,-0.078125,-0.578125,lying
2016-04-22 14:05:45.861,0.828125,-0.078125,-0.578125,lying
2016-04-22 14:05:45.871,0.828125,-0.078125,-0.578125,lying
2016-04-22 14:05:45.881,0.828125,-0.078125,-0.578125,lying
2016-04-22 14:05:45.891,0.828125,-0.078125,-0.578125,lying
2016-04-22 14:05:45.902,0.84375,-0.0625,-0.578125,lying
2016-04-22 14:05:45.912,0.828125,-0.046875,-0.578125,lying
2016-04-22 14:05:45.923,0.828125,-0.03125,-0.59375,lying
2016-04-22 14:05:45.933,0.828125,-0.046875,-0.59375,lying
2016-04-22 14:05:45.943,0.84375,-0.046875,-0.609375,lying
2016-04-22 14:05:45.953,0.84375,-0.03125,-0.59375,lying
2016-04-22 14:05:45.964,0.84375,-0.015625,-0.578125,lying
2016-04-22 14:05:45.974,0.84375,-0.03125,-0.59375,lying
2016-04-22 14:05:45.985,0.84375,-0.03125,-0.578125,lying
2016-04-22 14:05:45.995,0.84375,-0.03125,-0.578125,lying
2016-04-22 14:05:46.005,0.828125,-0.015625,-0.578125,lying
2016-04-22 14:05:46.015,0.828125,-0.015625,-0.5625,lying
2016-04-22 14:05:46.026,0.828125,-0.015625,-0.578125,lying
2016-04-22 14:05:46.036,0.828125,-0.015625,-0.578125,lying
